ID,Tuoi,GioiTinh,NgheNghiep,ThuNhap,MucChiTra,QuanTamThienNhien,LoaiDauGoi,UT_GiaCa,UT_ThanhPhan,UT_MuiHuong,UT_CongDung,UT_BaoBi
1,21,Nam,Học sinh / Sinh viên,Dưới 3 triệu đồng,100.000 VND - 200.000 VND,Có,Dầu gội dùng hàng ngày,3,4,3,3,2
2,21,Nam,bộ đội,Trên 10 triệu đồng,200.000 VND - 400.000 VND,Có,Dầu gội làm sạch sâu,2,2,2,2,2
3,21,Nam,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,None,Không,Dầu gội làm sạch sâu,3,2,3,4,2
4,21,Nam,Học sinh / Sinh viên,Trên 10 triệu đồng,100.000 VND - 200.000 VND,Có,Dầu gội làm sạch sâu,2,2,2,2,2
5,21,Nữ,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu",2,2,1,4,2
6,30,Nam,Nhân viên văn phòng,Trên 10 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu",4,4,4,4,4
7,21,Nam,Học sinh / Sinh viên,Dưới 3 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội chuyên dụng, Dầu gội làm sạch sâu",2,3,3,3,2
8,21,Nữ,Học sinh / Sinh viên,Trên 10 triệu đồng,100.000 VND - 200.000 VND,Có,Dầu gội thảo dược,4,4,4,4,4
9,21,Nữ,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,200.000 VND - 400.000 VND,Không,"Dầu gội làm sạch sâu, Dầu gội dùng hàng ngày, Dầu gội tạo phồng tóc, Dầu gội dành cho tóc dầu",2,2,3,4,2
10,21,Nữ,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu, Dầu gội tạo phồng tóc, Dầu gội dành cho tóc dầu",3,3,2,3,2
11,21,Nữ,Học sinh / Sinh viên,Dưới 3 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội chuyên dụng, Dầu gội dùng hàng ngày, Dầu gội tạo phồng tóc, Dầu gội dành cho tóc dầu",2,2,2,2,2
12,21,Nam,Nhân viên văn phòng,Từ 6 triệu đồng đến 10 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội thảo dược, Dầu gội dành cho tóc dầu",3,3,2,3,1
13,21,Nữ,Nhân viên văn phòng,Trên 10 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu, Dầu gội dành cho tóc dầu",4,4,4,4,2
14,21,Nữ,Học sinh / Sinh viên,Dưới 3 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu, Dầu gội tạo phồng tóc, Dầu gội dành cho tóc dầu",3,4,4,4,2
15,21,Nữ,Học sinh / Sinh viên,Dưới 3 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội thảo dược, Dầu gội chuyên dụng, Dầu gội làm sạch sâu, Dầu gội dùng hàng ngày, Dầu gội tạo phồng tóc, Dầu gội dành cho tóc dầu",3,3,3,4,2
16,21,Nam,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu, Dầu gội dùng hàng ngày",3,2,4,4,2
17,21,Nam,Học sinh / Sinh viên,Dưới 3 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu, Dầu gội dùng hàng ngày",4,4,3,4,4
18,40,Nữ,Nhân viên văn phòng,Trên 10 triệu đồng,200.000 VND - 400.000 VND,Có,Dầu gội thảo dược,4,4,4,4,4
19,21,Nữ,Học sinh / Sinh viên,Từ 6 triệu đồng đến 10 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội làm sạch sâu, Dầu gội tạo phồng tóc, Giảm rụng tóc",2,2,4,4,2
20,40,Khác,Nội trợ,Dưới 3 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội dành cho tóc dầu",2,3,3,4,2
21,21,Nữ,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội dùng hàng ngày, Dầu gội tạo phồng tóc",3,2,4,3,2
22,21,Nam,Học sinh / Sinh viên,Dưới 3 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội dùng hàng ngày, Dầu gội tạo phồng tóc",3,2,2,3,2
23,40,Nam,Lao động tự do / freelancer,Trên 10 triệu đồng,200.000 VND - 400.000 VND,Có,Dầu gội thảo dược,4,4,4,4,4
24,21,Nam,Nhân viên văn phòng,Từ 6 triệu đồng đến 10 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội thảo dược, Dầu gội chuyên dụng, Dầu gội dùng hàng ngày",3,3,3,3,3
25,21,Nam,Học sinh / Sinh viên,Trên 10 triệu đồng,trên 400.000 VND,Có,Dầu gội chuyên dụng,1,4,4,4,4
26,21,Nữ,Học sinh / Sinh viên,Dưới 3 triệu đồng,200.000 VND - 400.000 VND,Có,Dầu gội chuyên dụng,2,2,3,4,1
27,21,Nữ,Học sinh / Sinh viên,Dưới 3 triệu đồng,200.000 VND - 400.000 VND,Có,"Dầu gội thảo dược, Dầu gội chuyên dụng, Dầu gội làm sạch sâu, Dầu gội tạo phồng tóc",3,3,2,4,2
28,21,Nam,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội dùng hàng ngày",4,4,4,4,4
29,21,Nữ,Học sinh / Sinh viên,Từ 6 triệu đồng đến 10 triệu đồng,200.000 VND - 400.000 VND,Có,Dầu gội dành cho tóc dầu,2,2,3,2,2
30,21,Nữ,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,100.000 VND - 200.000 VND,Có,Dầu gội 2in1 (gội + xả),2,3,3,3,2
31,21,Nam,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,100.000 VND - 200.000 VND,Có,Dầu gội chuyên dụng,4,3,4,3,1
32,21,Nam,Học sinh / Sinh viên,Từ 6 triệu đồng đến 10 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu",3,3,4,3,2
33,21,Nữ,Học sinh / Sinh viên,Trên 10 triệu đồng,200.000 VND - 400.000 VND,Có,Dầu gội dùng hàng ngày,4,4,4,4,4
34,21,Nữ,Học sinh / Sinh viên,Từ 3 triệu đồng đến dưới 6 triệu đồng,100.000 VND - 200.000 VND,Có,"Dầu gội thảo dược, Dầu gội làm sạch sâu, Dầu gội dành cho tóc dầu",4,3,4,3,2
